month,service_channel,inquiries_received,avg_handle_time,resolution_rate,csat_score
2024-01-01,Call Center,10057,4.3,0.87,4.7
2024-01-01,Portal,4499,4.8,0.78,4.58
2024-01-01,Email,2686,5.6,0.94,4.0
2024-02-01,Call Center,12862,4.3,0.81,3.95
2024-02-01,Portal,7066,4.6,0.78,4.06
2024-02-01,Email,11121,6.4,0.77,4.02
2024-03-01,Call Center,14305,4.8,0.71,3.84
2024-03-01,Portal,11506,10.4,0.87,4.79
2024-03-01,Email,4833,4.4,0.77,4.55
2024-04-01,Call Center,11965,11.3,0.94,3.85
2024-04-01,Portal,4245,11.0,0.75,4.78
2024-04-01,Email,3185,5.7,0.83,3.52
2024-05-01,Call Center,4464,4.6,0.88,4.07
2024-05-01,Portal,10575,4.8,0.92,4.24
2024-05-01,Email,14115,8.5,0.74,3.55
2024-06-01,Call Center,3521,8.8,0.95,3.71
2024-06-01,Portal,2979,6.5,0.93,3.84
2024-06-01,Email,6177,6.4,0.94,4.44
2024-07-01,Call Center,5610,8.3,0.91,4.72
2024-07-01,Portal,9471,6.4,0.92,4.31
2024-07-01,Email,7700,11.5,0.85,4.23
2024-08-01,Call Center,13462,7.1,0.91,4.2
2024-08-01,Portal,9573,5.8,0.83,3.96
2024-08-01,Email,3953,5.2,0.83,4.58
2024-09-01,Call Center,7546,9.1,0.84,4.2
2024-09-01,Portal,11676,6.6,0.95,3.8
2024-09-01,Email,2883,5.5,0.73,3.68
2024-10-01,Call Center,12719,6.2,0.9,4.78
2024-10-01,Portal,6823,6.5,0.77,3.52
2024-10-01,Email,2123,9.0,0.79,4.71
2024-11-01,Call Center,2525,5.4,0.72,3.78
2024-11-01,Portal,4086,9.9,0.79,4.35
2024-11-01,Email,12347,6.4,0.95,3.89
2024-12-01,Call Center,8411,7.9,0.8,4.62
2024-12-01,Portal,8099,9.2,0.87,4.21
2024-12-01,Email,11568,8.3,0.73,3.68
